ticket_text,category,priority,status,reply
My internet connection is down since morning,Technical,High,Pending,
I was charged twice for my last order,Billing,High,Pending,
My package has not arrived yet,Shipping,High,Pending,
The app keeps crashing when I open it,Technical,High,Pending,
I want a refund for my cancelled order,Billing,Medium,Pending,
My delivery is delayed by 3 days,Shipping,Medium,Pending,
The product I received is damaged,Complaint,High,Pending,
I cannot login to my account,Technical,High,Pending,
Please update my billing information,Billing,Medium,Pending,
My order tracking link is not working,Shipping,Medium,Pending,
I received the wrong product,Complaint,High,Pending,
My subscription was cancelled unexpectedly,Billing,High,Pending,
App shows 'error 404' when I try to open settings,Technical,Medium,Pending,
I did not receive the promo I applied,Billing,Low,Pending,
My package was delivered to the wrong address,Shipping,High,Pending,
The support team did not respond to my query,Complaint,High,Pending,
My internet speed is extremely slow,Technical,High,Pending,
I want to update my payment method,Billing,Medium,Pending,
My order arrived incomplete,Shipping,High,Pending,
The app freezes during checkout,Technical,High,Pending,
My refund has not been processed yet,Billing,High,Pending,
I received a defective product,Complaint,High,Pending,
My delivery was scheduled for today but did not arrive,Shipping,High,Pending,
I cannot reset my password,Technical,High,Pending,
I was charged incorrectly for my subscription,Billing,High,Pending,
My package was returned to sender,Shipping,Medium,Pending,
The product is missing accessories,Complaint,Medium,Pending,
My account was locked without reason,Technical,High,Pending,
I want to cancel my subscription,Billing,Medium,Pending,
My delivery is missing items,Shipping,High,Pending,
The app does not open after update,Technical,Medium,Pending,
My last payment failed,Billing,High,Pending,
I received a damaged package,Complaint,High,Pending,
My order status is not updating,Shipping,Medium,Pending,
I am unable to upload files in the app,Technical,Medium,Pending,
I was billed extra for my last order,Billing,High,Pending,
My package arrived late,Shipping,Medium,Pending,
The product quality is not as described,Complaint,Medium,Pending,
My internet disconnects frequently,Technical,High,Pending,
I need to change my payment details,Billing,Medium,Pending,
My order was sent to the wrong address,Shipping,High,Pending,
The app logs me out randomly,Technical,Medium,Pending,
I want to dispute a charge,Billing,High,Pending,
My delivered package is missing parts,Complaint,High,Pending,
My shipment tracking stopped updating,Shipping,Medium,Pending,
The app crashes while browsing products,Technical,High,Pending,
I was not refunded for the returned item,Billing,High,Pending,
My delivery was delayed without notification,Shipping,High,Pending,
The product is defective,Complaint,High,Pending,
I cannot access certain features in the app,Technical,Medium,Pending,
My payment got declined multiple times,Billing,High,Pending,
My shipment arrived damaged,Shipping,High,Pending,
I am not satisfied with the customer support response,Complaint,Medium,Pending,
My app keeps logging out automatically,Technical,Medium,Pending,
